anchor,positive
"If you decide to save your money, it shall accumulate with time.","Sɛ wusi gyinae sɛ wobɛkora wo sika a, bere kɔ so no, ɛbɛboaboa ano."
"Those for whom you have been a beacon, a Brother, a Friend, a Guide, a Companion, a Partner","ame siwo nenye kekeli, xɔ̃, kplɔla kple hadɔwɔla na"
How may I help you?,Te mafee tɛɛ maye mabua bo?
How much per basket?,What's your price for a basket?
I am doing well.,Things are going well for me.
It requires a lot of money to smoothly run the health sector and this year the money budgeted for the main hospital is very little.,Ɛgye sika pii na ama wɔatumi ayɛ apomuden adwuma no yie na afe yi sika a wɔayɛ ama ayaresabea kɛseɛ no sua koraa.
How much for two?,How much should I pay for two?
Some sports team players are paid a monthly salary.,Wotua agumadi kuo mu agodifoɔ binom akatua ɔsram biara.
Can you tell me the price?,How much are you selling it?
"In a Nigeria of the 80s and 90s which advocated birth control, Mr Agwu decided to have a large family,","le ƒe 80-90 mela, esime Nigeria ɖoe be woaɖiɖi vi dzidzi la, aƒetɔ Agwu ɖoe be yeado ƒome gãɖe"
I'm interested in learning more about traditional herbal medicine in Ghana. How do sellers ensure customer safety when buying their products?,Miyɛ he miishɛɛ akɛ makase tsofafeemɔ ni jɛ blema tsofafeemɔ mli yɛ Ghana lɛ he nii babaoo. Te mɛi ni hɔ̃ɔ nii lɛ feɔ tɛŋŋ amɛkwɛɔ koni mɛi ni baahe nii lɛ ahi shi shweshweeshwe kɛ́ amɛheɔ amɛnibii lɛ?
She spent a lot of money on the tickets to the soccer game.,ɔsɛee sika pii wɔ tekiti a wɔde bɛkɔ bɔɔlbɔ no ho
I am a little tired today.,Mebrɛ kakra nnɛ.
Each child brought him a pitcher of water.,Ɖevi ɖe sia ɖe ku tsi zevi ɖeka ɖeka vɛ.
A tendency that other members of the family also hate,nu sia ɖea fu na ƒometɔ mlɔeawo hã
You're welcome here.,Woxɔ wò nyuie le afisia.
The incident occurred at 5:30 am on Saturday morning .,Asɛm yi sii Memeneda anɔpa 5:30.
I'm trying to understand Generalized Estimating Equations (GEE) and their application in correlated data. Can you explain the basic concept of GEE and how it differs from traditional GLMs?,Miibɔ mɔdɛŋ ni manu bɔ ni asusuɔ nii ahe ahaa (GEE) kɛ bɔ ni akɛtsuɔ nii ahaa lɛ shishi kɛ saji ni kɔɔ he. Ani obaanyɛ otsɔɔ shishijee shishinumɔ ni yɔɔ GLM he kɛ bɔ ni esoro lɛ yɛ blema GLMi lɛ ahe lɛ mli?
He was found guilty and arrested for misusing the market funds.,Wobuu no fɔ na wɔkyeree no sɛ ɔde gua so sika anni dwuma ɔkwammɔne so.
I read an article about a man named Winston who had a bad experience with his girlfriend Rhoda on Valentine's Day. What happened?,Mikane sane ko ni kɔɔ nuu ko ni atsɛɔ lɛ Winston ni kɛ enaanyo yoo Rhoda ná niiashikpamɔ gbonyo yɛ Valentine gbi lɛ nɔ lɛ he. meni ba?
"We wrote a long shopping list, preparing for our upcoming shopping trip.","Yɛtwerɛɛ nneɛma tenten a na yɛrekɔtotɔ, yɛresiesie yɛn ho ama adwadie akwantuo a na ɛda yɛn anim no."
If your husband is irresponsible then use family planning.,Sɛ wo kunu nni asɛyɛde a ɛnde fa abusua nhyehyɛe di dwuma.
Thank you for coming.,It is good to have you here
How much is this?,Combien ça coûte?
Do you have a price list?,Can you show me your prices?
Do you have a price list?,Is there a list of your prices?
Parents were requested to pay school fees in time as private schools have different school fees structure.,Wɔka kyerɛɛ awofoɔ sɛ wɔntua sukuu ka wɔ berɛ ano ɛfiri sɛ ankorɛankorɛ sukuu ahodoɔ wɔ sukuu ka nhyehyɛeɛ sononko.
I read that the International Monetary Fund (IMF) has stated that conditionality helps countries solve balance of payments problems. Can you tell me more about this?,"Mikane akɛ, Jeŋmaji Ateŋ Shika He Nitsumɔhe (IMF) lɛ shihilɛ mli nibii (shihilɛ mli nibii) yeɔ ebuaa maji ni amɛtsuɔ nyɔmɔwoo he naagbai ahe nii. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?"
I came across a research article about the impact of branding on buying behavior in Ghana's telecommunication industry. Can you tell me more about it?,Mikɛ niiamlitaomɔ wolo ko ni kɔɔ bɔ ni nibii ni afee lɛ ahe nii lɛ saa nihɔɔmɔ he subaŋ he yɛ tɛlifon nitsumɔhe ni yɔɔ Ghana lɛ he lɛ kpe. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
Which one costs less?,Which has the lower cost?
Many people in rural areas are now turning to vegetable growing.,Mprempren nnipa pii a wɔwɔ nkuraase redan akɔ atosodeɛ a wodua so.
"Faced with the enmity of his colleagues at Shell Côte d'Ivoire and thanks to the encouragement of some of his friends, Mr.","esi wole eyome tim leshell ta eye ɖe xɔ̃a aɖewo ƒe ŋusẽdoame ta, aƒetɔ"
"I've been reading about the AIDA model, which tries to explain the mental process a customer goes through before buying. Can you tell me more about it?",Mikane AIDA nɔkwɛmɔnɔ ni bɔɔ mɔdɛŋ ni etsɔɔ jwɛŋmɔŋ gbɛjianɔtoo ni jarayelɔ tsɔɔ mli dani eheɔ nii lɛ mli lɛ he sane. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
Can I help you find something?,Can I help you locate something?
The fisherman said there is a low fish market now.,"Ɔfareni no kaa sɛ, adwene ho adwadie no nkɔ so saa seesei."
I do not have enough money to pay for my children's school fees this term.,Minni sika a ɛdɔɔso a mede betua me mma sukuu ka wɔ tɛm yi mu.
And you?,Ni bo hu?
What advice did Prof. Patrick Asuming give to the John Mahama government regarding food security?,Mɛɛ ŋaa Nilelɔ Patrick Assuming wo John Mahama nɔyeli lɛ yɛ niyenii he shweshweeshwefeemɔ he?
How much per basket?,How much is each basket?
"That is a very attractive piece of cloth. How much does it cost? I would like to get one for my wife. Her birthday is coming up, and I would like for her to have a good time.","Ɛno yɛ ntama a ɛyɛ fɛ yiye. Ɛho ka yɛ ahe? Mepɛ sɛ minya bi ma me yere. N’awoda reba, na mɛpɛ sɛ ogye n’ani."
Kalilou did not answer but left the next morning on his trip.,"Kalilu meɖo nya aɖe nu nae o, boŋ efɔ ŋdi hezɔ mɔ."
Some individuals sell sandals to earn a living.,Ankorankoro binom tɔn mpaboa de nya wɔn asetrade.
I heard about a mobile money vendor being attacked in Ghana. Can you tell me more about the incident?,Minu akɛ atutua mɔ ko ni hɔ̃ɔ shika yɛ mobile phone nɔ yɛ Ghana. Ani obaanyɛ okɛɛ mi nɔ ni ba lɛ he saji babaoo?
How old are you?,Woadi mfeɛ sɛn?
"I'm interested in learning more about the 'caged' cubes made with bread, royal icing, and colored granulated sugar. What do they represent in the context of the research?","Miyɛ he miishɛɛ akɛ makase ‘studded’ cubes ni akɛ blodo, maŋtsɛ icing kɛ sugar ni yɔɔ kɔla fee lɛ ahe nii babaoo. Mɛni amɛtsɔɔ yɛ nikasemɔ lɛ mli?"
"What sampling technique was used in the study to select local tanners, leather sellers, teachers, and pupils?","Mɛɛ sample gbɛ nɔ akɛhala maŋbii ni feɔ kooloo hewolo, kooloo hewolofeelɔi, tsɔɔlɔi kɛ nikaselɔi ni yɔɔ nikasemɔ lɛ mli lɛ?"
The payment was only done after a cry from the councillors.,Wɔyɛɛ akatua no bere a agyinatufo no teɛteɛɛm akyi nkutoo.
I just read that Frontiers Healthcare Services made a lot of money from Covid tests at KIA. Can you tell me more about this?,Mikane akɛ Frontiers Healthcare nitsumɔhei lɛ ná shika babaoo kɛjɛ covid kaai ni afee yɛ KIA lɛ nɔ. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
"What do entrepreneurs do, and how do they impact the market?",Mɛni jarayelɔi feɔ ni te amɛnáa jarayeli lɛ nɔ hewalɛ amɛhaa tɛŋŋ?
I don't understand.,Nye mese egɔme o.
"“But have we understood that”? Will we stop overloading taxis, elevators, trains, motorbikes etc.? ""","ke ɖe míese egɔme be ele vevie be míadzidzɔ agbadodo gbɔ eme na míaƒe ʋuwo,dzokekewo,ketekewo kple bubuwo......."
A refrigerator is available to keep icepacks for medical purposes and cool drinks for the players during the game.,Fridge bi wɔ hɔ a wɔde icepacks besie de ayɛ aduruyɛ ne anonne a ɛyɛ nwini ama agodifo no bere a wɔredi agoru no.
We were requested to condole with the family of the deceased.,Wɔka kyerɛɛ yɛn sɛ yɛnkyekye deɛ wawu no abusua no werɛ.
Where are you from?,Where is home for you?
Thank you for coming.,Thanks for coming.
Thank you for coming.,Thank you for visiting
I'm interested in learning about the regulations surrounding street food vendors in Ghana. What are the different licenses and individual needs required to operate fully as a vendor?,Miyɛ mlai ni kɔɔ gbɛjegbɛ nɔ niyenii ni ahɔ̃ɔ yɛ Ghana lɛ he lɛ he miishɛɛ. Mɛni ji gbɛŋmɛɛ woji srɔtoi kɛ taomɔ nii ni aŋkroaŋkroi taoɔ koni amɛtsu nii jogbaŋŋ akɛ nihɔɔlɔ?
I'm interested in learning more about the Makola Shopping Mall in Ghana. What are some of the amenities that the mall offers to its customers?,Miyɛ he miishɛɛ akɛ male Makola Nihɔɔmɔ He ni yɔɔ Ghana lɛ he saji babaoo. Mɛni ji nibii komɛi ni jarayelihe lɛ kɛhaa mɛi ni baahe nii yɛ jɛmɛ lɛ?
Hello,Hello there
"While the contents of my glass were stirring with pieces of ice, Marc retreated into the shower, at the end of the corridor.",esi menɔ nye aha mlɔm le kɔpua me la Marc yi tsi le ge
Who paid a condolence visit to the family of Ghanaian highlife legend Daddy Lumba?,Namɔ basara Ghana shihilɛ mli gbɔmɔ ni he gbɛi waa ni atsɛɔ lɛ Daddy Lumba lɛ weku lɛ he awerɛhoyeli?
I am doing well.,I'm doing well.
What is the reason behind Turkey's request to change its name to Turkiye?,Mɛni he je nɛ Turkey tsake e biɛ kɛ pee Turki ɔ?
Good afternoon,"Good afternoon, madam."
"I've heard that energy drink consumption has been on the rise in Ghana, especially among workers in certain industries. Can you tell me more about this trend?","Minu akɛ nibii ni haa mɔ hewalɛ ni anuɔ lɛ miiya hiɛ waa yɛ Ghana, titri lɛ yɛ nitsulɔi ni tsuɔ nii yɛ nitsumɔhei komɛi amli lɛ ateŋ. Ani obaanyɛ okɛɛ mi nibii babaoo yɛ nɛkɛ nifeemɔ nɛɛ he?"
What is your name?,Te atsɛɔ bo tɛŋŋ?
You're welcome.,Ahere bo atuu
What's the cost of all these?,How much is the total for these items?
How are you?,Everything okay?
I'm trying to understand the history of insurance. Can you tell me about its origins?,Miibɔ mɔdɛŋ ni manu inshuɔrans he yinɔsane shishi. Tsɔɔmɔ mi he ni ejɛ?
Thank you very much.,Merci beaucoup.
What are the names of the three schools competing in the two thousand and twenty-five NSMQ Grand Finale?,Mɛni ji skul etɛ ni kɛ amɛhe baawo 2025 NSMQ Grand Final lɛ mli lɛ agbɛi?
How much per kilogram?,What's the price per kilogram?
Mobile money is the simplest and easiest way of transferring money.,Fon sika yɛ ɔkwan a ɛyɛ mmerɛw na ɛnyɛ den a wɔfa so de sika kɔ baabi foforo.
I'm trying to understand the algorithm described in the research article. Can you explain how the Main Procedure works?,Miibɔ mɔdɛŋ ni manu algorithm ni atsɔɔ mli yɛ niiamlitaomɔ wolo lɛ mli lɛ shishi. Ani obaanyɛ otsɔɔ bɔ ni gbɛjianɔtoo titri lɛ tsuɔ nii ehaa lɛ mli?
Individuals around the world have lost family members due to coronavirus .,Ankorankoro a wɔwɔ wiase nyinaa ahwere wɔn abusua mufo esiane koronavirus nti .
How much money is needed to change one's way of living?,Sika ahe na ehia na ama obi asesa n’asetra kwan?
"The first minutes of shock passed, I thought about eating my condiment bread,","miniti sesẽawo megbe la, mesusu be maɖu nye abolo"
I've heard that the banking industry in Ghana is highly competitive. What are some of the challenges banks face in this market?,Minu akɛ shikatoohe nitsumɔ ni yɔɔ Ghana lɛ mli akaŋshii wa waa. Mɛni ji naagbai komɛi ni shikatoohei kɛkpeɔ yɛ jarayeli nɛɛ mli?
I am very happy today.,M’ani agye yiye nnɛ.
School fees paid by parents can be used for many things in developing a school.,sukuu ka a awofo tua no betumi ayɛ nneɛma pii wɔ sukuu nkɔso mu.
Many officials are claiming not to have received any money after misusing it.,Aban mpanyimfoɔ pii reka sɛ wɔannya sika biara bere a wɔde dii dwuma ɔkwammɔne so akyi.
"The money that I took pleasure in counting every evening before falling asleep,",ho si mexlẽna ɣesiayi hafi mlɔ anyi
Which one costs less?,Which one should I buy if I want to save money?
What's the current price of petrol and diesel in Ghana?,Mɛɛ pɛtrol kɛ diesel jara ji yɛ Ghana?
I've been reading about the water quality in Ghanaian wells. What are some of the key findings from recent research on this topic?,Mikane bɔ ni nu ni yɔɔ nubui ni yɔɔ Ghana lɛ mli lɛ hi ha lɛ he sane. Mɛni ji nibii titrii komɛi ni ana kɛjɛ niiamlitaomɔ ni afee nyɛsɛɛ nɛɛ mli yɛ saneyitso nɛɛ he?
"He was imprisoned for forging receipts, stating the reason for someone's imprisonment.","Wɔde no too afiase esiane sɛ ɔyɛɛ atoro nkrataa a wɔde gye sika, na ɔkaa nea enti a wɔde obi too afiase nti."
I've been reading about the uses of certain plants in Ghana. Can you tell me more about the other uses of plants besides food?,Mikaneɔ bɔ ni akɛ tsei komɛi tsuɔ nii yɛ Ghana lɛ he sane. Ani obaanyɛ okɛɛ mi nibii babaoo ni kɔɔ tsei ni akɛtsuɔ nii kɛfataa niyenii he lɛ he?
I read that Ghana is vulnerable to external shocks due to its high food imports. Can you tell me more about this?,Mikane akɛ Ghana nyɛɔ ekɛ kponɔgbɛ shoofeemɔi baa yɛ niyenii babaoo ni ekɛbaa maŋsɛɛ lɛ hewɔ. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
What led to Strategic Mobilisation Ghana Limited (SML) changing its name from Strategic Mobilisation Enhancement Limited (SMEL)?,Mɛni ha nitsumɔhe nine ni feɔ nibii ni haa mɔ tsui nyɔɔ emli lɛ tsake egbɛi kɛjɛ nitsumɔhe nine lɛ mli?
The running water caused serious damage to the school.,Nsu a ɛsen no sɛee sukuu no kɛse.
"During the lockdown, food shops and supermarkets were allowed to operate.","Wɔ lockdown no mu no, wɔmaa aduantɔnbea ne aguadidan akɛse kwan ma wɔyɛɛ adwuma."
What were the findings of the National Summary Report on Heavy Metal Contaminant Assessment conducted by the Food and Drugs Authority (FDA) in Ghana?,Mɛni ji nɔ ni maŋ lɛ amaniɛbɔɔ kuku ni kɔɔ dade ni tsii ni Food and Drug Administration (FDA) ni yɔɔ Ghana lɛ kwɛ mli lɛ he lɛ na?
Thank you for coming.,Thanks for coming
Refined water passes through pipes in order to get to the user.,nsu a wɔayɛ no yiye fa nsu afiri mu sɛnea ɛbɛyɛ a ebetumi akɔ nea ɔde di dwuma no nkyɛn.
Welcome,You're welcome.
"Is it healthy for vendors to sleep in the market? Considerations should be made for the well-being and safety of vendors, including providing suitable accommodation outside the market premises.","So ɛyɛ papa sɛ adetɔnfoɔ bɛda dwa so? Ɛsɛ sɛ wɔsusu adetɔnfoɔ yi yedie ne ahobammɔ ho, a da berɛ a ɛfata a wɔbɛma wɔ dwa no akyi ka ho."
The little hare thanked his friend by saying:,"Fɔmizia gblɔna xɔa kple akpedada be,"
What is the opportunity cost incurred by individuals seeking malaria care in Ghana?,Mɛni ji hegbɛ ni aŋkroaŋkroi ni miitao atiridii helatsamɔ yɛ Ghana lɛ yɔɔ lɛ he nyɔmɔwoo?
The number of previous water connections request will determine your waiting time for water.,Nsuo nkitahodie a wɔabisa deda no na ɛbɛkyerɛ ɛberɛ a wode bɛtwɛn nsuo no.
I'm interested in learning more about maize farming in Ghana. What are some challenges that smallholder farmers face in terms of water availability?,Miyɛ he miishɛɛ akɛ makase ŋmãa ŋmɔshi nibii babaoo yɛ Ghana. Mɛni ji naagbai ni okwaafoi bibii kɛkpeɔ yɛ nu ni amɛnáa lɛ he?
"Thanks to Allah for this incredible experience,",akpe na Mawu ɖe numetoto sia ta
What's the cheapest one?,Which option is cheaper?
Some cattle keepers move from one place to another looking for grass and water.,Anantwihwɛfo binom tu fi baabi kɔ baabi foforo kɔhwehwɛ sare ne nsu.
"I've heard that sweetpotato is a nutritious food, especially in Africa. What are some of the health benefits of consuming sweetpotato?",Mi nu akɛ sweet potato ji niyenii ni hewalɛ yɔɔ mli titri yɛ Afrika. Mɛni ji hewalɛnamɔ he sɛɛ komɛi ni yɔɔ ŋmɔtɔ ni ayeɔ lɛ he?
Hi,Hey there.
Good morning,Morning! Nice to see you.
"But in the event of divorce, “only the part of the dowry given in cash can be reimbursed","ke ne woklã la, agbã ƒe akpa si nye ga asiasi koe woaxe"
"During the lockdown, prices of some food items were high.","Wɔ lockdown no mu no, na nnuan bi bo yɛ den."
"I am fine, thank you.",Miida bo shi
"What is the current situation with the local rice market in Ghana, and how is the government addressing it?","Te maŋ lɛ mli ŋmãa jarayeli lɛ yɔɔ ha tɛŋŋ yɛ Ghana, ni te nɔyeli lɛ miitsu naagba lɛ he nii eha tɛŋŋ?"
The president sensitized us about the importance of paying taxes.,Ɔmampanyin no maa yɛtee hia a ɛho hia sɛ yetua tow no ase.
Reading “Sealed Nectar” was important for me to better understand my religion and the Prophet Muhammad (saw),agbalẽ sia xexlẽ na menya xɔsea kple profeta la nyuie
What's your best price?,Te ojara wa tɛɛ?
The local community benefits when away fans come to watch football because people in the community sell their products to visiting football fans.,Kuro manfoɔ no nyaa mfasodeɛ pii firi akyitaafoɔ a wɔbɛhwɛɛ bɔɔlobɔ akansie no bi no ɛfiri sɛ wɔtɔn wɔn adwatɔndeɛ de maa ahɔho a wɔba no.
